Subtrate	Name_in_Model	Substrate_type	Growth_Biolog	Growth_Model
L-Methionine	L-methionine	N	G	NG
D,L-α-Amino-Caprylic Acid		N	G	NG
D-Valine		N	NG	NG
D-Glucosamine	D-Glucosamine	N	NG	NG
D,L-α-Amino-N-Butyric Acid	2-aminobutanoate	N	G	NG
Adenosine	adenosine	N	NG	G
Hydroxylamine		N	NG	NG
Phosphoryl Choline	choline phosphate	P	G	NG
D,L-α-Glycerol Phosphate	glycerol 1-phosphate	P	G	NG
O-Phospho-D-Tyrosine		P	G	NG
D-2-Phospho-Glyceric Acid	2-phospho-D-glyceric acid	P	G	NG
Guanosine-5’-monophosphate	GMP	P	G	NG
O-Phospho-L-Serine	3-phospho-serine	P	G	NG
O-Phospho-D-Serine	O-phosphonatooxy-D-serine(2-)	P	G	NG
Phosphate	phosphate	P	G	G
Pyrophosphate	diphosphate	P	G	NG
Thiophosphate		P	G	NG
Tripolyphosphate	triphosphate	P	G	NG
Uridine-5’-monophosphate	UMP	P	G	NG
Cytidine-5’-monophosphate	CMP	P	G	NG
Phosphoenol Pyruvate	phosphoenolpyruvate	P	G	NG
Trimetaphosphate		P	G	NG
Phospho-L-Arginine	N(omega)-phospho-L-arginine	P	G	NG
Carbamyl Phosphate	carbamoyl phosphate	P	G	NG
O-Phosphoryl-Ethanolamine	O-phosphoethanolamine	P	G	NG
D-Glucosamine-6-Phosphate	alpha-D-glucosamine 6-phosphate	P	G	G
Phosphocreatine	N-phosphocreatine	P	G	NG
Dithiophosphate		P	G	NG
Thymidine-5’-monophosphate	thymidine 5'-monophosphate	P	G	NG
Thymidine-3 ’-monophosphate	thymidine 3'-monophosphate	P	G	NG
Cysteamine-S-Phosphate	cysteamine S-phosphate	P	G	NG
2-Deoxy-D-Glucose 6-Phosphate	2-deoxy-D-glucose 6-phosphate	P	NG	NG
Guanosine-2’-monophosphate	guanosine 2'-monophosphate	P	G	NG
D-Glucose-6-Phosphate	D-glucose 6-phosphate	P	G	NG
β-Glycerol Phosphate	glycerol 2-phosphate(2-)	P	G	NG
Guanosine-3’-monophosphate	3'-GMP	P	G	NG
Phospho-Glycolic Acid	2-phosphoglycolate	P	G	NG
6-Phospho-Gluconic Acid	6-phospho-D-gluconate	P	G	NG
D-Mannose-6-Phosphate	D-mannose 6-phosphate	P	G	NG
Cytidine-3’,5’-cyclic monophosphate	3',5'-cyclic CMP	P	NG	NG
Cytidine-2’-monophosphate	cytidine 2'-phosphate	P	G	NG
Inositol Hexaphosphate	myo-inositol hexakisphosphate	P	G	NG
Guanosine-2’,3’-cyclic monophosphate	2',3'-cyclic GMP	P	G	NG
O-Phospho-L-Tyrosine	O(4)-phospho-L-tyrosine	P	G	NG
O-Phospho-L-Threonine	O-phospho-L-threonine	P	G	NG
Cytidine-3’-monophosphate		P	NG	NG
D-3-Phospho-Glyceric Acid	3-phosphonato-D-glycerate(3-)	P	G	NG
Triethyl Phosphate		P	NG	NG
Phosphono Acetic Acid		P	NG	NG
Uridine-2’-monophosphate	uridine 2'-phosphate	P	G	NG
D-Glucose-1-Phosphate	D-glucose 1-phosphate	P	G	NG
Uridine-3’-monophosphate	3'-UMP	P	G	NG
Cytidine-2’ ,3’-cyclic monophosphate	2',3'-cyclic CMP	P	G	NG
2-Aminoethyl Phosphonic Acid		P	NG	NG
Uridine-2’,3’-cyclic monophosphate	2',3'-cyclic UMP	P	G	NG
Adenosine-2’-monophosphate	adenosine 2'-phosphate	P	G	NG
Adenosine-3’-monophosphate	3'-AMP	P	G	NG
Adenosine-2’,3’-cyclic monophosphate	2',3'-cyclic AMP	P	G	NG
Hypophosphite		P	NG	NG
Guanosine-3’,5’-cyclic monophosphate	3',5'-cyclic GMP	P	NG	NG
Thymidine 3’,5’-cyclic monophosphate		P	NG	NG
D-Mannose-1-Phosphate	D-mannose 1-phosphate	P	G	NG
Urid ine-3’,5’-cyclic monophosphate		P	NG	NG
Methylene Diphosphonic Acid		P	G	NG
Adenosine-3’,5’-cyclic monophosphate	3',5'-cyclic AMP	P	NG	NG
Adenosine-5’-monophosphate	AMP	P	G	NG
Sulfate	sulphate	S	G	G
L-Cysteine	L-cysteine	S	NG	NG
Tetrathionate		S	NG	NG
Thiosulfate	thiosulfate	S	G	NG
S-Methyl-L-Cysteine		S	G	NG
Hypotaurine		S	NG	NG
D-Methionine		S	NG	NG
L-Cysteinyl-Glycine	L-cysteinylglycine	S	NG	NG
L-Methionine	L-methionine	S	G	NG
