s_3281[mm],mo218131814161[mm]
s_3282[mm],mo218131604181[mm]
s_3283[mm],mo218131614181[mm]
s_3284[mm],mo116021614161[mm]
s_3285[mm],mo116021614181[mm]
s_3286[mm],mo116121614161[mm]
s_3287[mm],mo116121614181[mm]
s_3288[mm],mo118021614161[mm]
s_3289[mm],mo118021614181[mm]
s_3290[mm],mo118121614161[mm]
s_3291[mm],mo118121614181[mm]
s_3292[mm],mo116021814161[mm]
s_3293[mm],mo116021814181[mm]
s_3294[mm],mo116121814161[mm]
s_3295[mm],mo116121814181[mm]
s_3296[mm],phos11602161[mm]
s_3300[mm],phos11802161[mm]
s_3302[mm],phos11812161[mm]
s_3304[mm],phos11602181[mm]
s_3305[mm],phos11612181[mm]
s_3306[mm],phos11802181[mm]
s_3307[mm],phos11812181[mm]
s_3308[mm],ca1181218131604161[mm]
s_3309[mm],ca1181218131614161[mm]
s_3310[mm],ca1181218131804161[mm]
s_3311[mm],ca1181218131814161[mm]
s_3312[mm],ca1181218131604181[mm]
s_3313[mm],ca1181218131614181[mm]
s_3314[mm],ca1160216131814181[mm]
s_3315[mm],ca1161216131814181[mm]
s_3316[mm],ca1180216131814181[mm]
s_3317[mm],ca1181216131814181[mm]
s_3318[mm],ca1160218131814181[mm]
s_3319[mm],ca1161218131814181[mm]
s_3323[ce],1ph1dmyin11602161[ce]
s_3325[ce],1ph1dmyin4ph11602161[ce]
s_3328[ce],1ph1dmyin11802161[ce]
s_3329[ce],1ph1dmyin4ph11802161[ce]
s_3330[ce],1ph1dmyin11812161[ce]
s_3331[ce],1ph1dmyin4ph11812161[ce]
s_3332[ce],1ph1dmyin11602181[ce]
s_3333[ce],1ph1dmyin4ph11602181[ce]
s_3334[ce],1ph1dmyin11612181[ce]
s_3335[ce],1ph1dmyin4ph11612181[ce]
s_3336[ce],1ph1dmyin11802181[ce]
s_3337[ce],1ph1dmyin4ph11802181[ce]
s_3338[ce],1ph1dmyin11812181[ce]
s_3339[ce],1ph1dmyin4ph11812181[ce]
s_3340[vm],1ph1dmyin11602161[vm]
s_3343[vm],1ph1dmyin4ph11602161[vm]
s_3346[vm],1ph1dmyin11802161[vm]
s_3347[vm],1ph1dmyin4ph11802161[vm]
