s_0961[c],abt[c]
s_0962[e],abt[e]
s_0963[c],arab__L[c]
s_0964[e],arab__L[e]
s_0965[c],arg__L[c]
s_0966[e],arg__L[e]
s_0967[m],arg__L[m]
s_0968[v],arg__L[v]
s_0969[c],asn__L[c]
s_0970[e],asn__L[e]
s_0971[m],asn__L[m]
s_0972[v],asn__L[v]
s_0973[c],asp__L[c]
s_0974[e],asp__L[e]
s_0975[m],asp__L[m]
s_0976[x],asp__L[x]
s_0977[v],asp__L[v]
s_0978[c],aspsa[c]
s_0979[c],citr__L[c]
s_0980[c],cyst__L[c]
s_0981[c],cys__L[c]
s_0982[e],cys__L[e]
s_0983[c],cgly[c]
s_0984[c],cysi__L[c]
s_0985[v],cysi__L[v]
s_0986[c],glu5p[c]
s_0987[c],gluala[c]
s_0988[c],glucys[c]
s_0989[c],sbt__L[c]
s_0990[e],sbt__L[e]
s_0991[c],glu__L[c]
s_0992[e],glu__L[e]
s_0993[m],glu__L[m]
s_0994[n],glu__L[n]
s_0995[x],glu__L[x]
s_0996[v],glu__L[v]
s_0997[c],glu5sa[c]
s_0999[c],gln__L[c]
s_1000[e],gln__L[e]
s_1001[n],gln__L[n]
s_1002[v],gln__L[v]
s_1003[c],gly[c]
s_1004[e],gly[e]
s_1005[m],gly[m]
s_1006[c],his__L[c]
s_1007[e],his__L[e]
s_1008[m],his__L[m]
s_1009[v],his__L[v]
s_1010[c],histd[c]
s_1011[c],hisp[c]
s_1012[c],hcys__L[c]
s_1014[c],hom__L[c]
s_1015[e],hom__L[e]
s_1016[c],ile__L[c]
s_1017[e],ile__L[e]
s_1018[m],ile__L[m]
s_1019[v],ile__L[v]
s_1020[c],Lkynr[c]
s_1021[c],leu__L[c]
s_1022[e],leu__L[e]
s_1023[m],leu__L[m]
s_1024[v],leu__L[v]
s_1025[c],lys__L[c]
s_1026[e],lys__L[e]
s_1027[m],lys__L[m]
s_1028[v],lys__L[v]
s_1029[c],met__L[c]
s_1030[e],met__L[e]
s_1031[m],met__L[m]
s_1032[c],phe__L[c]
s_1033[e],phe__L[e]
s_1034[m],phe__L[m]
s_1035[c],pro__L[c]
s_1036[e],pro__L[e]
s_1037[m],pro__L[m]
s_1038[c],saccrp__L[c]
s_1039[c],ser__L[c]
s_1040[r],ser__L[r]
s_1041[e],ser__L[e]
s_1042[m],ser__L[m]
s_1043[c],srb__L[c]
s_1044[e],srb__L[e]
s_1045[c],thr__L[c]
s_1046[e],thr__L[e]
s_1047[m],thr__L[m]
s_1048[c],trp__L[c]
s_1049[e],trp__L[e]
s_1050[m],trp__L[m]
s_1051[c],tyr__L[c]
s_1052[e],tyr__L[e]
s_1053[m],tyr__L[m]
s_1054[x],tyr__L[x]
s_1055[v],tyr__L[v]
s_1056[c],val__L[c]
s_1057[e],val__L[e]
s_1058[m],val__L[m]
s_1059[c],lanost[c]
s_1061[e],lanost[e]
s_1065[c],ddca[c]
s_1067[e],ddca[e]
s_1070[x],ddca[x]
s_1073[c],ddcacoa[c]
s_1076[x],ddcacoa[x]
s_1077[c],leutrna[c]
s_1078[m],leutrna[m]
s_1079[c],leuktrA4[c]
s_1080[n],leuktrA4[n]
s_1081[c],leuktrB4[c]
s_1082[n],leuktrB4[n]
s_1085[r],lgnc[r]
s_1096[c],lip[c]
s_1097[m],lpam[m]
